サンプル名,Ce,Co,Zn,Ce5Co19,Ce2Co17,Ce1Co5,CeO2_cubic,Ce2O3_trig,Co_cubic,T_a,Coercivity,XRD サンプル名
CeCo_2-7_-40_-40,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_27.xy
CeCo_2-7_-35_-40,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_44.xy
CeCo_2-7_-30_-40,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_61.xy
CeCo_2-7_-25_-40,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_78.xy
CeCo_2-7_-20_-40,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_95.xy
CeCo_2-7_-15_-40,6.883247099,93.1167529,0.0,0.217,0.43,0.303,0.0491,0.0,0.0,450,,CeCo_2-7_112.xy
CeCo_2-7_-10_-40,7.041784164000001,92.95821584000001,0.0,0.212,0.506,0.244,0.0391,0.0,0.0,450,0.02849110785149079,CeCo_2-7_129.xy
CeCo_2-7_-5_-40,7.175077836000001,92.82492216,0.0,0.279,0.609,0.094,0.0179,0.0,0.0,450,0.04787651986884549,CeCo_2-7_146.xy
CeCo_2-7_0_-40,7.142374453,92.85762555,0.0,0.283,0.609,0.093,0.0152,0.0,0.0,450,0.030905769457446445,CeCo_2-7_163.xy
CeCo_2-7_5_-40,6.939623291999999,93.06037671,0.0,0.285,0.61,0.0903,0.0151,0.0,0.0,450,0.0310961391811451,CeCo_2-7_180.xy
CeCo_2-7_10_-40,7.051659594999999,92.94834041,0.0,0.207,0.419,0.334,0.0408,0.0,0.0,450,0.02780720388859954,CeCo_2-7_197.xy
CeCo_2-7_15_-40,7.0136075049999995,92.98639250000001,0.0,0.234,0.342,0.376,0.0484,0.0,0.0,450,,CeCo_2-7_214.xy
CeCo_2-7_20_-40,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_231.xy
CeCo_2-7_25_-40,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_248.xy
CeCo_2-7_30_-40,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_265.xy
CeCo_2-7_35_-40,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_282.xy
CeCo_2-7_40_-40,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_299.xy
CeCo_2-7_-40_-35,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_28.xy
CeCo_2-7_-35_-35,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_45.xy
CeCo_2-7_-30_-35,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_62.xy
CeCo_2-7_-25_-35,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_79.xy
CeCo_2-7_-20_-35,7.8834971320000005,92.11650287,0.0,0.149,0.679,0.159,0.0129,0.0,0.0,450,0.056387898541086515,CeCo_2-7_96.xy
CeCo_2-7_-15_-35,7.7385698409999994,92.26143016,0.0,0.121,0.716,0.153,0.0103,0.0,0.0,450,0.0327629407685611,CeCo_2-7_113.xy
CeCo_2-7_-10_-35,7.893962134000001,92.10603787,0.0,0.12,0.703,0.17,0.007,0.0,0.0,450,0.04297108460997241,CeCo_2-7_130.xy
CeCo_2-7_-5_-35,8.131694488,91.86830551,0.0,0.111,0.714,0.169,0.0062,0.0,0.0,450,0.03298840931702555,CeCo_2-7_147.xy
CeCo_2-7_0_-35,8.036617338000001,91.96338266000001,0.0,0.109,0.697,0.186,0.0075,0.0,0.0,450,0.04246639869687464,CeCo_2-7_164.xy
CeCo_2-7_5_-35,8.122356171,91.87764383,0.0,0.11,0.705,0.178,0.0064,0.0,0.0,450,0.05414065172989496,CeCo_2-7_181.xy
CeCo_2-7_10_-35,8.354044357,91.64595564,0.0,0.131,0.67,0.19,0.0093,0.0,0.0,450,0.047552148978274,CeCo_2-7_198.xy
CeCo_2-7_15_-35,8.161324697,91.83867529999999,0.0,0.198,0.715,0.079,0.0079,0.0,0.0,450,0.031831370040096375,CeCo_2-7_215.xy
CeCo_2-7_20_-35,7.390996356,92.60900364,0.0,0.0729,0.801,0.118,0.008,0.0,0.0,450,0.042456988406866666,CeCo_2-7_232.xy
CeCo_2-7_25_-35,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_249.xy
CeCo_2-7_30_-35,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_266.xy
CeCo_2-7_35_-35,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_283.xy
CeCo_2-7_40_-35,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_300.xy
CeCo_2-7_-40_-30,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_29.xy
CeCo_2-7_-35_-30,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_46.xy
CeCo_2-7_-30_-30,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_63.xy
CeCo_2-7_-25_-30,8.429682404,91.5703176,0.0,0.179,0.727,0.0786,0.0152,0.0,0.0,450,0.03489816691985388,CeCo_2-7_80.xy
CeCo_2-7_-20_-30,8.619563147000001,91.38043685,0.0,0.188,0.739,0.0604,0.0122,0.0,0.0,450,0.04120634885491873,CeCo_2-7_97.xy
CeCo_2-7_-15_-30,8.94227779,91.05772221000001,0.0,0.146,0.751,0.1024,0.00078,0.0,0.0,450,0.04560226961564853,CeCo_2-7_114.xy
CeCo_2-7_-10_-30,9.045080523,90.95491948,0.0,0.136,0.771,0.0934,0.0,0.0,0.0,450,0.03190015347208805,CeCo_2-7_131.xy
CeCo_2-7_-5_-30,9.159329456,90.84067054,0.0,0.1303,0.7683,0.1008,0.00062,0.0,0.0,450,0.06222882706180277,CeCo_2-7_148.xy
CeCo_2-7_0_-30,9.328258529,90.67174147,0.0,0.1255,0.8088,0.0603,0.0053,0.0,0.0,450,0.041943817462501296,CeCo_2-7_165.xy
CeCo_2-7_5_-30,9.170507212999999,90.82949279,0.0,0.13,0.773,0.0971,0.0,0.0,0.0,450,0.03070702880308427,CeCo_2-7_182.xy
CeCo_2-7_10_-30,8.96190588,91.03809412,0.0,0.128,0.774,0.098,0.0005,0.0,0.0,450,0.04525260201788458,CeCo_2-7_199.xy
CeCo_2-7_15_-30,8.850530636,91.14946936,0.0,0.139,0.769,0.0909,0.0012,0.0,0.0,450,0.057161460503989334,CeCo_2-7_216.xy
CeCo_2-7_20_-30,8.445790092,91.55420991,0.0,0.117,0.813,0.0633,0.0071,0.0,0.0,450,0.03171861501546649,CeCo_2-7_233.xy
CeCo_2-7_25_-30,8.249546719000001,91.75045328,0.0,0.069,0.847,0.074,0.0099,0.0,0.0,450,0.044119354329767345,CeCo_2-7_250.xy
CeCo_2-7_30_-30,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_267.xy
CeCo_2-7_35_-30,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_284.xy
CeCo_2-7_40_-30,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_301.xy
